7
10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,11
14,00,00,00,00,00,63,44,00,00, 2,00,00,00,00,00,00,00,00,16
14,00,00,00,00,00,00,43,00,00,99,00,00,00,00,00,00,00,00,16
14,00,00,00,00,00,45,42,00,00,00,00,00,43,44,45,46,00,00,16
14,00,00,44,45,46,40,41,00,00,00,00,00,00,00,00,45,00,00,16
14,00,00,43,43,43,00,00,00,00,00,00,00,00,00,00,44,00,00,16
14,00,00,42,42,42,00,00,00,00,00,00,00,00,00,00,43,00,00,16
14,00,00,41,41,41,00,00,00,00,00,00,00,00,00,00,42,00,00,16
14,00,00,40,40,40,00,00,41,42,43,46,00,00,00,00,41,00,00,16
14,99,00,00,00,00,00,00,40, 5,99,00,00,00,00,00,40, 2,00,16
14,99,00,00,00,00,00,00,40,99,99,00,00,00,00,00,40,99,00,16
14,00,00,40,40,40,00,00,41,42,43,46,00,00,00,00,41,00,00,16
14,00,00,41,41,41,00,00,00,00,00,00,00,00,00,00,42,00,00,16
14,00,00,42,42,42,00,00,00,00,00,00,00,00,00,00,43,00,00,16
14,00,00,43,43,43,00,00,00,00,00,00,00,00,00,00,44,00,00,16
14,00,00,44,45,46,40,41,00,00,00,00,00,00,00,00,45,00,00,16
14,00,00,00,00,00,45,42,00,00,00,00,00,43,44,45,46,00,00,16
14,00,00,00,00,00,00,43,00,00, 2,00,00,00,00,00,00,00,00,16
14,00,00,00,00,00,60,44,00,00,99,00,00,00,00,00,00,00,00,16
13,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,12
10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,11
14,00,40,40,00,00,63,00,00,46,46,00,61,00,00,00,40,40,00,16
14,00,00,41,41,00,00,00,00,45,45,00,00,00,00,41,41,00,00,16
14,00,00,00,42,42,00,00,00,44,44,00,00,00,42,42,00,00,00,16
14,00,00,00,00,43,43,00,00,43,43,00,00,43,43,00,00,00,00,16
14,00,00,00,00,00,44,44,00,00,00,00,44,44,00,00,00,00,00,16
14, 2,00,00,00,00,00,45,45,00,00,45,45,00,00,00,00,42,00,16
14,99,00,00,00,00,00,46,46,00,00,46,46,00,00,00,41,00,00,16
14,00,00,00,00,00,00,00,00,00,00,00,00,00,00,41,00,00,00,16
14,00,00,00,00,00,00,00,00,00,00,00,00,00,00,40,00, 2,00,16
14,00,00,00,00,00,00,00,00,00,00,00,00,00,00,40,00,99,00,16
14,00,00,00,00,00,00,00,00,00,00,00,00,00,00,41,00,00,00,16
14,00,00,00,00,00,00,46,46,00,00,46,46,00,00,00,41,00,00,16
14,00,00,00,00,00,00,45,45,00,00,45,45,00,00,00,00,42,00,16
14,00,00,00,00,00,44,44,00,00,00,00,44,44,00,00,00,00,00,16
14,00,00,00,00,43,43,00,00,43,43,00,00,43,43,00,00,00,00,16
14,00,00,00,42,42,00,00,00,44,44,00,00,00,42,42,00,00,00,16
14,00,00,41,41,00,00,00,00,45,45,00,00,00,00,41,41,00,00,16
14,00,40,40,00,00,60,00,00,46,46,00,62,00,00,00,40,40,00,16
13,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,12
10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,11
14,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,16
14,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,16
14,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,16
14,00,00,00,40,41,42,00,00,00,00,00,00,00,40,40,00,00,00,16
14,00,00,00,00,60,43,00,00,00,00,00,00,00,41,41,00,00,00,16
14,00,00,00,00,00,43,00,00,00,00,00,00,00,42,42,00,00,00,16
14,00,00,00,40,41,42,00,00,00,00,00,00,00,43,43,00,00,00,16
14,00,00,00,43,44,45,45,45,43,40,00,00,00,44,44,00,00,00,16
14,00,00,00,00,62,46,46,46, 2,99,00,00,00,45,45,00,30,00,16
14,00,00,00,00,00,46,46,46,99,99,00,00,00,45,45,00,00,00,16
14,00,00,00,43,44,45,45,45,43,40,00,00,00,44,44,00,00,00,16
14,00,00,00,40,41,42,00,00,00,00,00,00,00,43,43,00,00,00,16
14,00,00,00,00,61,43,00,00,00,00,00,00,00,42,42,00,00,00,16
14,00,00,00,00,00,43,00,00,00,00,00,00,00,41,41,00,00,00,16
14,00,00,00,40,41,42,00,00,00,00,00,00,00,40,40,00,00,00,16
14,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,16
14,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,16
14,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,16
13,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,12
10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,11
14,00,00,00,00,00,00,00,00,40,40,00,00,00,00,00,00,00,60,16
14,00,00,00,00,00,00,00,00,41,41,00,00,00,00,00,00,00,00,16
14,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,16
14,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,16
14,40,41,42,43,00,00,00,00,00,00,00,00,00,00,43,42,41,40,16
14,40,41,42,43,00,00,00,00,00,00,00,00,00,00,43,42,41,40,16
14,00,00,00,00,00,00,44,44,44,44,44,44,00,00,00,00,00,00,16
14,00,00,00,00,00,00,45,45,45,45,45,45,00,00,40,00,00,00,16
14, 2,00,00,00,00,00,46,46,46,46,46,46,00,00,41,00, 2,00,16
14,99,00,00,00,00,00,46,46,46,46,46,46,00,00,46,00,99,00,16
14,00,00,00,00,00,00,45,45,45,45,45,45,00,00,45,00,00,00,16
14,00,00,00,00,00,00,44,44,44,44,44,44,00,00,44,00,00,00,16
14,40,41,42,43,00,00,00,00,00,00,00,00,00,00,43,42,41,40,16
14,40,41,42,43,00,00,00,00,00,00,00,00,00,00,43,42,41,40,16
14,40,41,42,43,00,00,00,00,00,00,00,00,00,00,00,00,00,00,16
14,40,41,42,43,44,00,42,42,42,42,42,42,00,42,00,00,00,00,16
14,00,00,00,00,00,00,41,41,41,41,41,41,00,41,00,00,00,00,16
